ELECTION_YR,CAND_ID,CAND_NM,CAND_PTY_AFFILIATION,CMTE_ID,CMTE_NM,CASH_ON_HAND_HAND_COP,DEBTS_OWED_TO_CMTE,DEBTS_OWED_BY_CMTE,EXP_SUBJECT_LIMITS,NET_CONTRIBUTIONS,NET_OPERATING_EXP,FEDERAL_FUNDS,INDIVIDUAL_ITEM_CONTRIB,INDIVIDUAL_UNITEM_CONTRIB,INDIVIDUAL_CONTRIBUTIONS,POLITICAL_PARTY_CONTRB,OTHER_CMTE_CONTRIB,CANDIDATE_CONTRIB,TOTAL_CONTRIBUTIONS,TRANF_FROM_AFFILIATED_CMTE,LOANS_FROM_CANDIDATE,OTHER_LOANS_RECEIVED,TOTAL_LOANS_RECEIVED,OFFSETS_TO_OP_EXP,OFFSETS_TO_FNDRSG_EXP,OFFSETS_TO_LEGAL_ACCTG,TTL_OFFSETS_TO_OP_EXP,OTHER_RECEIPTS,TOTAL_RECEIPTS,OPERATING_EXP,TRANF_TO_OTHER_AUTH_CMTE,FNDRSG_DISB,EXEMPT_LEGAL_ACCTG_DISB,REPYMTS_LOANS_MADE_BY_CAND,REPYMTS_OTHER_LOANS,TTL_LOAN_REPYMTS_MADE,REF_INDV_CONTB,REF_POL_PTY_CMTE_CONTRIB,REF_OTHER_POL_CMTE_CONTRIB,TTL_CONTRIB_REF_PER,OTHER_DISBURSEMENTS,TOTAL_DISBURSEMENTS
"2020","P00000001","All candidates,","","","","27739639.85","6150","16245097.2","","2133232492.16","2215296369.62","0","1096747360","888366417","1985113764.59","28763.99","1945884.77","1408564425.66","3395652839.01","601240316.47","69019223.26","580","69023803.26","63299833.81","328866.15","0","63628699.96","14748870.51","4144294529.21","3997674408.05","13001150.28","236662.51","0","15719520.3","580","15720100.3","43648916.85","5642.99","65522.71","43720082.55","60206353.31","4130558757"
"2020","P00000002","Democrats,","DEM","","","14275105.27","0","6242473.18","","2039710489.74","2136322356.93","0","836761483","653695083","1490456553.59","13265","1070576.47","1408452527.99","2899992923.05","290955098.21","49899360.38","0","49903360.38","52773034.67","19147.81","0","52792182.48","10699527.47","3304343091.59","3214149226.52","12604752.96","232500.25","0","15694473.61","0","15694473.61","32003057.36","0","36756.84","32039814.2","20389439.36","3295110206.9"
"2020","P00000003","Republicans,","REP","","","12076522.99","6150","3559554.92","","89498022.13","68501330.54","0","257577231","230722339","488299571.72","0","873108.3","24917.27","489197597.29","310285218.26","686385.41","0","686385.41","10505639.45","0","0","10505639.45","4048232.43","814723072.84","759794096.98","393947.32","0","0","0","0","0","11584099.15","4400","28765.87","11617265.02","39802887.59","811608196.91"
"2020","P00006213","Delaney, John K.","DEM","C00508416","FRIENDS OF JOHN DELANEY","12026.58","0","1493250","","3835781.31","14004071.15","0","2179823","342022","2521843.36","0","36000","1169076.55","3726919.91","0","25165000","0","25165000","292136.54","0","0","292136.54","0","29184056.45","14008718.4","60000","0","0","15000000","0","15000000","90850.89","0","3000","93850.89","63485.54","29226054.83"
"2020","P00006486","Yang, Andrew","DEM","C00659938","FRIENDS OF ANDREW YANG","214312.83","0","2010","","38948263.51","39703941.15","0","20637626","20552362","41189986.86","0","4345.64","46000","41240332.5","0","8000","0","8000","162454.79","0","0","162454.79","1196359.35","42607146.64","40378013.99","0","0","0","48000","0","48000","2210100.88","0","0","2210100.88","82000","42718114.87"
"2020","P00006841","Kokesh, Adam","LIB","C00662197","ADAM KOKESH AMERICAN REFERENDUM PROJECT","267.71","0","10552.39","","203528.8","199173.85","0","100871","17578","118448.73","0","0","85115.07","203563.8","0","21014.34","580","21594.34","1047.59","0","0","1047.59",".03","226205.76","200221.44","2450","4162.26","0","14262.99","580","14842.99","35","0","0","35","4226.36","225938.05"
"2020","P00008763","Ojeda, Richard Neece II","DEM","C00691444","OJEDA FOR PRESIDENT","0","0","42401.69","","71161.58","113161.58","0","28735","48742","77476.27","0","0","0","77476.27","42000","0","0","0","1.47","0","0","1.47","0","119477.74","113163.05","0","0","0","0","0","0","6314.69","0","0","6314.69","0","119477.74"
"2020","P00009092","Castro, Julián","DEM","C00693044","JULIÁN FOR THE FUTURE","561653.62","0","0","","10106461","9507560.56","0","3643574","6620621","10264194.12","0","20363.11","0","10284557.23","82.43","0","0","0","17380.52","0","0","17380.52","0","10302020.18","9524941.08","3550","0","0","0","0","0","174096.23","0","4000","178096.23","33779.25","9740366.56"
"2020","P00009183","Gabbard, Tulsi","DEM","C00693713","TULSI NOW","171107.85","0","0","","11916721.13","13701762.65","0","5324929","7119390","12444318.75","0","1000","75","12445393.75","2500000","0","0","0","315451.81","0","0","315451.81","55.58","15260901.14","14017214.46","526000","0","0","0","0","0","528672.62","0","0","528672.62","17906.21","15089793.29"
"2020","P00009290","Gillibrand, Kirsten ","DEM","C00694018","GILLIBRAND 2020","84388.65","0","0","","6206053.86","14365413.89","0","4299445","1979345","6278789.63","0","6925","77.76","6285792.39","9600000","0","0","0","50961.61","0","0","50961.61","17645.57","15954399.57","14416375.5","1372417.89","0","0","0","0","0","79738.53","0","0","79738.53","1479","15870010.92"
"2020","P00009423","Harris, Kamala D.","DEM","C00694455","KAMALA HARRIS FOR THE PEOPLE","250163.26","0","90130.84","","38165877.16","40769462.87","0","23724637","15803449","39528085.32","0","101545.12","0","39629630.44","2651337.47","0","0","0","311822.11","0","0","311822.11","488195.46","43080985.48","41081284.98","38000","0","0","0","0","0","1458228.28","0","5245","1463473.28","248063.96","42830822.22"
"2020","P00009621","Warren, Elizabeth ","DEM","C00693234","WARREN FOR PRESIDENT, INC.","178499.13","0","423941.03","","114891920.61","126002680.74","0","49372532","66522392","115894923.85","0","2159.93","5777.5","115902861.28","10415000","400000","0","400000","2776552.55","0","0","2776552.55","1873697.92","131368111.75","128992168.18","515782.33","0","0","400000","0","400000","1010246.67","0","36","1010282.67","271379.44","131189612.62"
"2020","P00009795","Booker, Cory A.","DEM","C00695510","CORY 2020","53630.33","0","785889.53","","22467971.53","25134209.4","0","15106972","7700467","22807437.91","0","173929.94","0","22981367.85","2740000","0","0","0","168686.94","0","0","168686.94","195119.33","26085174.12","25302896.34","217756.03","0","0","0","0","0","493146.32","0","14250","507396.32","3495.1","26031543.79"
"2020","P00009910","Williamson, Marianne ","DEM","C00696054","MARIANNE WILLIAMSON FOR PRESIDENT","50385.5","0","226596.3","","50930.09","29440.51","0","3519093","4705416","8224508.87","0","0","13.15","8224522.02","0","0","0","4000","8935.18","0","0","8935.18","2656.55","8240113.75","7764273.63","0","140238.08","0","0","0","0","312627.56","0","0","312627.56","29991.98","8247131.25"
"2020","P00010298","Buttigieg, Pete","DEM","C00697441","PETE FOR AMERICA, INC.","6011814.46","0","2726792.53","","99800760.68","93735569.99","0","57652102","43744949","101397048.71","65","43454","0","101440567.71","0","0","0","0","1174598.65","0","0","1174598.65","124580.88","102739747.24","94910168.64","0","0","0","0","0","0","1640660.56","0","0","1640660.56","177103.58","96727932.78"
"2020","P00010454","Inslee, Jay R","DEM","C00698050","INSLEE FOR AMERICA","38858.34","0","0","","6440531.96","6398919.62","0","3455502","3455790","6911292.42","0","4700","0","6915992.42","0","0","0","0","23670.13","0","0","23670.13","3146","6942808.55","6422589.75","0","0","0","0","0","0","475460.46","0","0","475460.46","5900","6903950.21"
"2020","P00010520","Hickenlooper, John W.","DEM","C00698258","HICKENLOOPER 2020","0","0","0","","0","0","0","2790358","562301","3352659.26","0","4652.98","32800","3390112.24","0","75000","0","75000","15604.92","0","0","15604.92","28777.98","3509495.14","3340739.94","0","0","0","1473.61","0","1473.61","167281.59","0","0","167281.59","0","3509495.14"
"2020","P00010793","O’Rourke, Robert Beto","DEM","C00699090","BETO FOR AMERICA","221665.57","0","10825","","17481334.37","17192854.18","0","9012216","9436714","18448928.46","0","6791.36","0","18455719.82","0","0","0","0","81315.41","0","0","81315.41",".19","18537035.42","17272537.84","0","0","0","0","0","0","974385.45","0","0","974385.45","68446.56","18315369.85"
"2020","P00010827","Messam, Wayne Martin","DEM","C00699280","WAYNE MESSAM FOR AMERICA","0","0","81875.5","","126917.87","112777.57","0","85483","38835","124317.87","0","0","2600","126917.87","0","0","0","0","0","0","0","0","0","126917.87","112777.57","0","1602.24","0","0","0","0","0","0","0","0","12538.06","126917.87"
"2020","P00011239","Weld, William Floyd (Bill)","REP","C00700906","WELD 2020 PRESIDENTIAL CAMPAIGN COMMITTEE, INC.","777.3","0","384037.3","","1790173.63","2005735.38","0","1195639","596039","1791678.63","0","3550","24917.27","1820145.9","0","256800","0","256800","27107.73","0","0","27107.73","50","2104103.63","2056516.33","0","0","0","0","0","0","5055","0","0","5055","41755","2103326.33"
"2020","P00011254","Gravel, Maurice Robert","DEM","C00700609","COMMITTEE FOR PEACE, JUSTICE, AND MIKE GRAVEL","7458.99","0","0","","0","0","0","7984","322076","330059.27","0","0","0","330059.27","0","0","0","0","0","0","0","0","7742","337801.27","250993.95","0","0","0","0","0","0","1313.35","0","0","1313.35","0","252307.3"
"2020","P00011312","Swalwell, Eric Michael","DEM","C00701698","SWALWELL FOR AMERICA","0","0","0","","847772.07","2497676.9","0","551987","340385","892372.51","0","500","0","892872.51","1700000","0","0","0","11983.93","0","0","11983.93","0","2604856.44","2509660.83","33745.17","0","0","0","0","0","45100.44","0","0","45100.44","16350","2604856.44"
"2020","P00011338","Ryan, Timothy J.","DEM","C00701979","TIM RYAN FOR AMERICA","303.76","0","0","","1318567.05","1293389.24","0","850050","435025","1285074.27","0","55606.18","0","1340680.45","0","0","0","0","565.94","0","0","565.94","0","1341246.39","1293955.18","23179.05","0","0","0","0","0","21608.4","0","500","22108.4","1700","1340942.63"
"2020","P00011833","Bennet, Michael F.","DEM","C00705186","BENNET FOR AMERICA","3864.37","0","0","","6695512.92","7327420.49","0","4462562","2332877","6795438.72","0","4807","2800","6803045.72","700000","0","0","0","21604.61","0","0","21604.61","0","7524650.33","7349015.1","55401.46","0","0","0","0","0","107532.8","0","0","107532.8","8836.6","7520785.96"
"2020","P00011866","Moulton, Seth","DEM","C00704510","SETH MOULTON FOR AMERICA, INC.","960.16","0","0","","1432218.93","1905601.82","0","1157076","342784","1499861.06","0","0","0","1499861.06","918579.19","40000","0","40000","58352","0","0","58352","2.49","2516794.74","1963953.82","296488.63","0","0","40000","0","40000","67642.13","0","0","67642.13","147750","2515834.58"
"2020","P00011999","Bullock, Steve","DEM","C00706416","BULLOCK FOR PRESIDENT","0","0","0","","0","0","0","3735786","1753850","5489635.25","5000","2100","0","5496735.25","0","0","0","0","30818.99","0","0","30818.99","130339.05","5657893.29","5164899.25","0","0","0","0","0","0","304304.7","0","0","304304.7","188689.34","5657893.29"
"2020","P00012039","Charles, Mark R.","IND","C00706572","COMMITTEE TO ELECT MARK CHARLES FOR PRESIDENT","2080.01","0","0","","155791.93","150860.88","0","65877","90253","156129.62","0","0","565.31","156694.93","0","0","0","0","1049.09","0","0","1049.09","971.83","158715.85","155732.84","0","0","0","0","0","0","903","0","0","903","0","156635.84"
"2020","P00012054","de Blasio, Bill","DEM","C00706697","DE BLASIO 2020","822.66","0","57373.4","","56","10602.32","0","1281239","142057","1423295.82","0","0","0","1423295.82","0","0","0","0","39.15","0","0","39.15","12735.44","1436070.41","1313395.82","0","90659.93","0","0","0","0","31192","0","0","31192","0","1435247.75"
"2020","P00012211","Hawkins, Howie","GRE","C00708024","HOWIE HAWKINS 2020","17920.12","0","147707.95","","10628.33","21566.41","0","172458","312466","484925.18","1050","1000","369.15","487344.33","0","1000","0","1000","10739.72","0","0","10739.72","138.75","499222.8","477722.5","0","0","0","1000","0","1000","2580.18","0","0","2580.18","0","481302.68"
"2020","P00012567","Sestak, Joseph A. Jr.","DEM","C00710574","JOE SESTAK FOR PRESIDENT","3576.66","0","0","","422766.44","419189.78","0","333124","107003","440126.63","0","5103","2800","448029.63","0","0","0","0","1314.95","0","0","1314.95","0","449344.58","420504.73","0","0","0","0","0","0","25263.19","0","0","25263.19","0","445767.92"
"2020","P00012716","Steyer, Tom","DEM","C00711614","TOM STEYER 2020","87004.02","0","24000","","321400478.84","344561072","0","1213481","2505884","3719365.85","0","0","317964975.92","321684341.77","0","23811360.38","0","23811360.38","7546233.38","0","0","7546233.38","0","353041935.53","352088985.76","0","0","0","0","0","0","283862.93","0","0","283862.93","582200","352955048.69"
"2020","P00013276","Walsh, Joe","REP","C00717033","WALSH FOR PRESIDENT","0","6150","441685.65","","174607","609121.23","0","156897","27205","184102","0","0","0","184102","5802.87","429585.41","0","429585.41",".24","0","0",".24","0","619490.52","609995.52","0","0","0","0","0","0","9495","0","0","9495","0","619490.52"
"2020","P00013524","Jorgensen, Jo","LIB","C00718031","JO JORGENSEN FOR PRESIDENT","21228.33","0","106132.32","","3326213.54","3149448.93","0","1113598","2302196","3415792.5","14448.99","1200","930.87","3432372.36","0","9783.7","0","9783.7","0","0","0","0","0","3442156.06","3391878.88","0","0","0","9783.7","0","9783.7","8222.16","1242.99","0","9465.15","9800","3420927.73"
"2020","P00013649","Sanford, Marshall","REP","C00285254","SANFORD 2020","1326343.85","0","0","","94287.42","128964.62","0","65274","29013","94287.42","0","0","0","94287.42","0","0","0","0","0","0","0","0","6676.91","100964.33","128964.62","0","0","0","0","0","0","0","0","0","0","0","128964.62"
"2020","P00014407","Patrick, Deval","DEM","C00727156","DEVAL FOR ALL","2381.55","0","195000","","2431659.79","2642515.95","0","2399046","271825","2670871.24","0","0","0","2670871.24","0","400000","0","400000","34984.94","19037.71","0","54022.65","0","3124893.89","2677500.89","0","0","0","205000","0","205000","239211.45","0","0","239211.45","800","3122512.34"
"2020","P00014530","Bloomberg, Michael R.","DEM","C00728154","MIKE BLOOMBERG 2020, INC.","3422907.46","0","82387.36","","1090140019.17","1074496719.57","0","65062","849426","914487.06","0","0","1089225532.11","1090140019.17","0","0","0","0","28268533.96","0","0","28268533.96","6184391.6","1124592944.73","1102765253.53","0","0","0","0","0","0","0","0","0","0","18404783.74","1121170037.27"
"2020","P00016550","Pierce, Brock","IND","C00750745","BROCK PIERCE FOR PRESIDENT","17538.7","0","5928676.44","","116877.69","5879015.03","0","109432","8196","117627.59","0","0","0","117627.59","0","5928676.44","0","5928676.44","7052.2","309718.34","0","316770.54","0","6363074.57","6345535.87","0","0","0","0","0","0","0","0","0","0","0","6345535.87"
"2020","P00016741","West, Kanye","NNE","C00751701","KANYE 2020","1328976.72","0","250000","","210940","1072617.05","0","846410","1218306","2064715.66","0","0","0","2064715.66","0","12473002.99","0","12473002.99","1271.09","0","0","1271.09","0","14538989.74","13159993.02","0","0","0","0","0","0","50020","0","0","50020","0","13210013.02"
"2020","P60007168","Sanders, Bernard","DEM","C00696948","BERNIE 2020","2589097.37","0","0","","198140889.56","206558393.89","0","87745795","114808701","202554495.98","0","14702.52","0","202569198.5","12701500","0","0","0","3282001.72","0","0","3282001.72","354326.4","218907026.62","209954444.74","6601500","0","0","0","0","0","4428413.87","0","0","4428413.87","17000","221001358.61"
"2020","P80000722","Biden, Joseph R Jr","DEM","C00703975","BIDEN FOR PRESIDENT","260475.37","0","0","","-2474430.6","43134268.53","0","504504091","318593994","823098083.37","8200","563064.21","0","823669347.58","243411324.12","0","0","0","7021943.4","0","0","7021943.4","77360.93","1074179976.03","1056940033.92","1192592","0","0","0","0","0","15774817.9","0","8600.84","15783418.74","3456","1073919500.66"
"2020","P80001571","Trump, Donald J.","REP","C00580100","DONALD J. TRUMP FOR PRESIDENT, INC.","10749401.84","0","2733831.97","","87438954.08","65757509.31","0","256159421","230070082","486229503.67","0","869558.3","0","487099061.97","310279415.39","0","0","0","10478531.48","0","0","10478531.48","4041505.52","811898514.36","756998620.51","393947.32","0","0","0","0","0","11569549.15","4400","28765.87","11602715.02","39761132.59","808756415.44"
"2020","P80006117","Klobuchar, Amy J.","DEM","C00696419","AMY FOR AMERICA","47746.78","0","0","","48844292.91","50703680.58","0","27621173","22256401","49877574.9","0","18826.48","0","49896401.38","3575275","0","0","0","1095085.07","110.1","0","1095195.17","2394.75","54569266.3","51798765.65","1668340.4","0","0","0","0","0","1050983.47","0","1125","1052108.47","2305","54521519.52"
